ing_amount,ingredients,preparation,title,url
"0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,2 oz.","Gin,Vodka,Tequila,Rum,Orange Liqueur,Lemon Juice,Simple Syrup,Cranberry Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a lemon wedge",Long Beach Iced Tea,https://www.makemycocktail.com/cocktails/LongBeachIcedTea.php
"1 oz.,1 oz.,1 oz.,0.75 oz.","Vodka,Coffee Liqueur,Cream,Cola"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, coffee liqueur and cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Top off the glass with cola",Bulldog,https://www.makemycocktail.com/cocktails/Bulldog.php
"1 oz.,0.5 oz.,4.5 oz.","Peach Schnapps,Grenadine,Champagne"," Chill your champagne flute before preparing the cocktail,Pour the peach schnapps, grenadine and champagne directly into the champagne flute,Lastly, garnish your cocktail with fresh raspberries",Blushing Bride,https://www.makemycocktail.com/cocktails/BlushingBride.php
"2 oz.,0.75 oz.,8 leaves","Whiskey,Simple Syrup,Mint Sprig"," Add the whiskey, simple syrup and mint to an empty rocks glass,Lightly muddle the ingredients in the rocks glass,Fill the rocks glass 2/3 full with cracked ice,Stir your cocktail for 30-45 seconds,Top off the rocks glass with more crushed ice,Lastly, garnish your cocktail with a sprig of mint",Mint Julep,https://www.makemycocktail.com/cocktails/MintJulep.php
"2 oz.,2 oz.","Brandy,Coffee Liqueur"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the brandy and coffee liqueur to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass",Dirty Mother,https://www.makemycocktail.com/cocktails/DirtyMother.php
"2 oz.,5 oz.","Gin,Ginger Ale"," Fill your highball glass with ice,Pour the gin directly into the glass,Top off the glass with ginger ale,Lastly, garnish your cocktail with a lemon wedge",Gin Highball,https://www.makemycocktail.com/cocktails/GinHighball.php
"2 oz.,1 oz.,3 dash","Southern Comfort,Sweet Vermouth,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the Souther Comfort, sweet vermouth and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",Comfort Manhattan,https://www.makemycocktail.com/cocktails/ComfortManhattan.php
"2 oz.,1 oz.,2 oz.,2 oz.","Vodka,Orange Liqueur,Orange Juice,Lemon-Lime Soda"," Fill your highball glass with ice,Pour the vodka, orange liqueur and orange juice directly into the glass,Top off the glass with lemon-lime soda,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Orange Crush,https://www.makemycocktail.com/cocktails/OrangeCrush.php
"2 oz.,0.5 oz.,4 oz.","Vodka,Lime Juice,Ginger Beer"," Fill your copper mug with ice,Pour the vodka and lime juice directly into the mug,Top off the mug with ginger beer,Lastly, garnish your cocktail with a lime wedge",Moscow Mule,https://www.makemycocktail.com/cocktails/MoscowMule.php
"1 oz.,0.5 oz.,0.5 oz.,3 oz.","Gin,Lemon Juice,Simple Syrup,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the gin, lemon juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with a lemon twist",French 75,https://www.makemycocktail.com/cocktails/French75.php
"1 oz.,1 oz.,1 oz.,1 oz.","Vodka,Mint Liqueur,Herbal Liqueur,Orange Juice"," Fill your rocks glass with ice,Pour the vodka, mint liqueur, herbal liqueur and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a grapefruit wedge",Flying Tiger,https://www.makemycocktail.com/cocktails/FlyingTiger.php
"1 oz.,1 oz.,2 oz.","Whiskey,Coffee Liqueur,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the irish whiskey, coffee liqueur, and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Note: For a different look, try shaking without cream and floating it on top by pouring slowly on the back of a barsoon",Irish Sombrero,https://www.makemycocktail.com/cocktails/IrishSombrero.php
"2 oz.,5 oz.","Vodka,Ginger Ale"," Fill your highball glass with ice,Pour the vodka directly into the glass,Top off the glass with ginger ale,Lastly, garnish your cocktail with a lime wedge",Vodka Highball,https://www.makemycocktail.com/cocktails/VodkaHighball.php
"1.5 oz.,0.75 oz.,1 oz.,3 oz.,8 leaves","Gin,Lime Juice,Simple Syrup,Ginger Beer,Mint Sprig"," Fill your copper mug with ice,Add the lime juice, simple syrup and mint leaves to an empty cocktail shaker,Lightly muddle the ingredients in the cocktail shaker,Add the gin to the cocktail shaker,Fill the cocktail shaker 2/3 full with cracked ice,Shake your cocktail for 10-15 seconds,Double strain the shaker contents into the copper mug,Top off the mug with ginger beer,Lastly, garnish your cocktail with a lime wheel and sprig of mint",Gin Gin Mule,https://www.makemycocktail.com/cocktails/GinGinMule.php
"1.5 oz.,1.5 oz.","Brandy,Almond Liqueur"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the cognac and amaretto to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass",French Connection,https://www.makemycocktail.com/cocktails/FrenchConnection.php
"2 oz.,1 oz.,1 oz.","Tequila,Orange Liqueur,Lime Juice","Firstly, prepare your glass by salting the rim, Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the tequila, Cointreau and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a lime wedge",Margarita,https://www.makemycocktail.com/cocktails/Margarita.php
"2 oz.,1 oz.,3 dash","Whiskey,Sweet Vermouth,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the scotch, sweet vermouth and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",Rob Roy,https://www.makemycocktail.com/cocktails/RobRoy.php
"1 oz.,1 oz.,1 oz.","Gin,Campari*,Sweet Vermouth"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the gin, campari and sweet vermouth to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with an orange twist",Negroni,https://www.makemycocktail.com/cocktails/Negroni.php
"2 oz.,1 oz.","Vodka,Dry Vermouth"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the vodka and dry vermouth to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled martini glass,Lastly, garnish your cocktail with a lemon twist",Vodka Martini,https://www.makemycocktail.com/cocktails/VodkaMartini.php
"2 oz.,0.75 oz.,0.5 oz.,0.5 oz.","Rum,Pineapple Juice,Lime Juice,Simple Syrup"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the rum, pineapple juice, lime juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a lime wheel",Pineapple Daiquiri,https://www.makemycocktail.com/cocktails/PineappleDaiquiri.php
"2 oz.,2 oz.,1 oz.","Coconut Liqueur,Pineapple Juice,Cream of Coconut"," Fill your hurricane glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the coconut liqueur, pineapple juice and cream of coconut into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Pina Colada (Rocks),https://www.makemycocktail.com/cocktails/PinaColadaRocks.php
"1.5 oz.,1 oz.,0.75 oz.,0.5 oz.,2.5 oz.","Tequila,Grapefruit Juice,Lime Juice,Simple Syrup,Soda Water"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the silver tequila, grapefruit juice, lime juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a grapefruit wedge",Paloma,https://www.makemycocktail.com/cocktails/Paloma.php
"2 oz.,0.75 oz.,0.5 oz.,8 leaves","Whiskey,Lemon Juice,Simple Syrup,Mint Sprig"," Fill your rocks glass with crushed ice,Add the lemon juice, simple syrup and mint leaves to an empty cocktail shaker,Lightly muddle the ingredients in the cocktail shaker,Add the whiskey to the cocktail shaker,Fill the cocktail shaker 2/3 full with cracked ice,Shake your cocktail for 10-15 seconds,Double strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a sprig of mint",Whiskey Smash,https://www.makemycocktail.com/cocktails/WhiskeySmash.php
"2 oz.,0.5 oz.,4.5 oz.","Rum,Lime Juice,Cola"," Fill your highball glass with ice,Pour the rum and lime juice directly into the glass,Top off the glass with cola,Lastly, garnish your cocktail with a lime wedge",Cuba Libre,https://www.makemycocktail.com/cocktails/CubaLibre.php
"2 oz.,1 oz.,3 dash","Whiskey,Sweet Vermouth,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the whiskey, sweet vermouth and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",Manhattan,https://www.makemycocktail.com/cocktails/Manhattan.php
"2 oz.,5 oz.","Tequila,Cola"," Fill your highball glass with ice,Pour the tequila directly into the glass,Top off the glass with cola,Lastly, garnish your cocktail with a lime wedge",Mexicola,https://www.makemycocktail.com/cocktails/Mexicola.php
"1.5 oz.,1 oz.,0.5 oz.,0.25 oz.","Tequila,Lemon Juice,Pineapple Juice,Grenadine"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the tequila, lemon juice, pineapple juice and grenadine to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a lemon twist",Mexicana,https://www.makemycocktail.com/cocktails/Mexicana.php
"1.5 oz.,5 oz.","Southern Comfort,Orange Juice"," Fill your highball glass with ice,Pour the Southern Comfort and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Comfortable Screw,https://www.makemycocktail.com/cocktails/ComfortableScrew.php
"2 oz.,0.75 oz.,0.75 oz.,3 oz.","Tequila,Lemon Juice,Simple Syrup,Soda Water"," Fill your collins glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the tequila, lemon juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the collins glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a cherry and a lemon wedge",Tequila Collins,https://www.makemycocktail.com/cocktails/TequilaCollins.php
"1.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,2 oz.","Whiskey,Coffee Liqueur,Almond Syrup*,Cream,Soda Water"," Chill a narrow highball glass before preparing the cocktail,Fill your cocktail shaker 2/3 full with cracked ice,Pour the bourbon, coffee liqueur, almond syrup and heavy cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the highball glass,Slowly top off the glass with soda water to create a foam layer,Allow the cocktail to settle (about 30 seconds) and top with more soda water",Bourbon Lift,https://www.makemycocktail.com/cocktails/BourbonLift.php
"1 oz.,1 oz.,1 oz.,1 oz.,0.5 oz.,1.5 oz.","Vodka,Orange Juice,Pineapple Juice,Simple Syrup,Grenadine,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, orange juice, pineapple juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Slowly pour the grenadine down the side of the martini glass to settle on the bottom,Slowly pour heavy cream on the back of a barspoon to float on top",Candy Corn,https://www.makemycocktail.com/cocktails/CandyCorn.php
"2 oz.,1 oz.,0.25 oz.","Whiskey,Irish Cream,Mint Liqueur"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the irish whiskey, irish cream and green creme de menthe to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with whipped cream and sprinkles",Irish Eyes,https://www.makemycocktail.com/cocktails/IrishEyes.php
"2 oz.,1 oz.","Vodka,Coffee Liqueur"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the vodka and coffee liqueur to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass",Black Russian,https://www.makemycocktail.com/cocktails/BlackRussian.php
"1.5 oz.,0.5 oz.,0.5 oz.","Whiskey,Sweet Vermouth,Dry Vermouth"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the scotch, sweet vermouth and dry vermouth to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange twist",Beal's Cocktail,https://www.makemycocktail.com/cocktails/BealsCocktail.php
"1.5 oz.,0.75 oz.,0.75 oz.,0.25 oz.","Rum,Dry Vermouth,Orange Liqueur,Grenadine"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the light rum, dry vermouth, orange curacao and grenadine to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange twist",El Presidente,https://www.makemycocktail.com/cocktails/ElPresidente.php
"1.5 oz.,1.5 oz.,1.5 oz.,0.5 oz.,1.5 oz.","Tequila,Grapefruit Juice,Pineapple Juice,Lime Juice,Soda Water"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the tequila, grapefruit juice, pineapple juice and lime juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a pineapple wedge",Pineapple Paloma,https://www.makemycocktail.com/cocktails/PineapplePaloma.php
"1.5 oz.,1.5 oz.","Chocolate Liqueur,Mint Liqueur"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the dark creme de cacao and green creme de menthe to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Peppermint Pattie,https://www.makemycocktail.com/cocktails/PeppermintPattie.php
"2 oz.,0.75 oz.,0.75 oz.,6 leaves","Gin,Lemon Juice,Simple Syrup,Mint Sprig"," Chill your coupe glass before preparing the cocktail,Lightly muddle 6 mint leaves in bottom of shaker with lemon juice and simple syrup,Add gin to the shaker,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 10-15 seconds,Double strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a mint leaf",Southside,https://www.makemycocktail.com/cocktails/Southside.php
"2 oz.,5 oz.","Gin,Orange Juice"," Fill your highball glass with ice,Pour the gin and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wedge",Gin & Orange Juice,https://www.makemycocktail.com/cocktails/GinOJ.php
"0.75 oz.,0.75 oz.,0.75 oz.,0.25 oz.,3 oz.","Brandy,Orange Liqueur,Lemon Juice,Simple Syrup,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the Cognac, Cointreau, lemon juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with an orange twist",Champagne Sidecar,https://www.makemycocktail.com/cocktails/ChampagneSidecar.php
"0.5 oz.,1.5 oz.,0.25 oz.,3.5 oz.","Vodka,Orange Juice,Cream,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, orange juice and cream to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with an orange twist",Creamsicle Mimosa,https://www.makemycocktail.com/cocktails/CreamsicleMimosa.php
"3 oz.,2 oz.,1 oz.,1 oz.","Rum,Pineapple Juice,Lime Juice,Orange Juice"," Fill your hurricane glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, pineapple juice, lime juice and orange juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with a pineapple wedge",Zombie,https://www.makemycocktail.com/cocktails/Zombie.php
"1 oz.,1 oz.,1 oz.","Coffee Liqueur,Chocolate Liqueur,Mint Liqueur"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the coffee liqueur, white creme de cacao and white creme de menthe to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Mocha Mint,https://www.makemycocktail.com/cocktails/MochaMint.php
"1.5 oz.,0.5 oz.,0.75 oz.,0.25 oz.","Vodka,Orange Liqueur,Lemon Juice,Simple Syrup"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, orange liqueur, lemon juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a lemon twist",Lemon Drop Martini,https://www.makemycocktail.com/cocktails/LemonDropMartini.php
"0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,2 oz.","Gin,Vodka,Tequila,Rum,Whiskey,Lemon Juice,Simple Syrup,Cola"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients (excluding cola) into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with cola,Gently stir with a straw,Lastly, garnish your cocktail with a lemon wedge",Texas Tea,https://www.makemycocktail.com/cocktails/TexasTea.php
"1 oz.,5 oz.","Orange Liqueur,Champagne","Firstly, prepare your glass by adding a sugared rim, Chill your champagne flute before preparing the cocktail,Pour the blue curacao and champagne directly into the champagne flute,Lastly, garnish your cocktail with a lemon wedge",Tiffany Mimosa,https://www.makemycocktail.com/cocktails/TiffanyMimosa.php
"2 oz.,1 oz.,0.75 oz.,1.5 oz.,8 leaves","Rum,Simple Syrup,Lime Juice,Soda Water,Mint Sprig"," Fill your highball glass with ice,Lightly muddle 8 mint leaves in bottom of a cocktail shaker with lime juice and simple syrup,Pour the rum into the cocktail shaker,Fill your cocktail shaker 2/3 full with cracked ice,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Lastly, garnish your cocktail with a sprig of mint",Mojito,https://www.makemycocktail.com/cocktails/Mojito.php
"5.75 oz.,0.25 oz.,2 dash","Champagne,Simple Syrup,Bitters"," Chill your champagne flute before preparing the cocktail,Pour the champagne, simple syrup and bitters directly into the champagne flute,Lastly, garnish your cocktail with a cherry",Champagne Cocktail,https://www.makemycocktail.com/cocktails/ChampagneCocktail.php
"1.5 oz.,0.75 oz.,1 oz.,0.5 oz.","Rum,Orange Liqueur,Lemon Juice,Simple Syrup","Firstly, prepare your glass by adding a sugared rim, Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the spiced rum, curacao, lemon juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with an orange twist",Cable Car,https://www.makemycocktail.com/cocktails/CableCar.php
"2 oz.,0.75 oz.,0.75 oz.,1 whole","Gin,Lemon Juice,Simple Syrup,Egg White*"," Fill your rocks glass with ice,Add the gin, lemon juice, simple syrup and egg white to the shaker,Shake your cocktail without ice for 20-25 seconds,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 20-25 seconds,Strain the shaker contents into the rocks glass,Note: Feel free to exclude the egg white by simply shaking the other ingredients with ice for 10-15 seconds and straining into a rocks glass,Lastly, garnish your cocktail with an orange slice and a cherry",Gin Sour,https://www.makemycocktail.com/cocktails/GinSour.php
"2 oz.,5 oz.","Gin,Grapefruit Juice","Firstly, prepare your glass by salting the rim, Fill your highball glass with ice,Pour the gin and grapefruit juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a grapefruit wedge",Salty Dog,https://www.makemycocktail.com/cocktails/SaltyDog.php
"2 oz.,0.5 oz.,3 dash","Brandy,Orange Liqueur,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the brandy, orange curacao and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a lemon peel",The Brandy Cocktail,https://www.makemycocktail.com/cocktails/BrandyCocktail.php
"1 oz.,2 oz.,2 oz.","Vodka,Cranberry Juice,Pineapple Juice"," Fill your hurricane glass with ice,Pour the vodka, cranberry juice and pineapple juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a lime wheel",Bay Breeze,https://www.makemycocktail.com/cocktails/BayBreeze.php
"1.5 oz.,5 oz.,0.5 oz.","Whiskey,Orange Juice,Grenadine"," Fill your highball glass with ice,Pour the bourbon and orange juice directly into the glass,Gently stir with a straw,Slowly pour the grenadine on the back of a barspoon pressed against the inside of the glass,Lastly, garnish your cocktail with an orange wheel",Kentucky Sunrise,https://www.makemycocktail.com/cocktails/KentuckySunrise.php
"2 oz.,5 oz.","Tequila,Orange Juice"," Fill your highball glass with ice,Pour the tequila and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wedge",Mexican Screw,https://www.makemycocktail.com/cocktails/MexicanScrew.php
"2 oz.,2.5 oz.,2.5 oz.","Whiskey,Ginger Ale,Soda Water"," Fill your highball glass with ice,Pour the whiskey directly into the glass,Top off the glass with ginger ale and soda water,Lastly, garnish your cocktail with a lemon twist",Presbyterian,https://www.makemycocktail.com/cocktails/Presbyterian.php
"2 oz.,0.25 oz.,0.25 oz.,4 dash","Whiskey,Absinthe*,Simple Syrup,Bitters"," Lightly coat the inside of a chilled rocks glass with Pernod,Fill a mixing glass 2/3 full with cracked ice,Add the whiskey, simple syrup and Peychaud bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with a lemon peel",Sazerac,https://www.makemycocktail.com/cocktails/Sazerac.php
"2 oz.,5 oz.","Vodka,Cranberry Juice"," Fill your highball glass with ice,Pour the vodka and cranberry juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a lime wedge",Cape Codder,https://www.makemycocktail.com/cocktails/CapeCodder.php
"2 oz.,2 oz.,2 oz.","Rum,Lime Juice,Simple Syrup"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, lime juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with an orange slice",Planter's Punch,https://www.makemycocktail.com/cocktails/PlantersPunch.php
"1.5 oz.,0.75 oz.,0.75 oz.","Brandy,Orange Liqueur,Lemon Juice"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the cognac, Cointreau and lemon juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange twist",Sidecar,https://www.makemycocktail.com/cocktails/Sidecar.php
"0.75 oz.,0.75 oz.,0.75 oz.,0.75 oz.,0.75 oz.,0.75 oz.,1.5 oz.,0.25 oz.","Vodka,Sloe Berry Liqueur,Southern Comfort,Almond Liqueur,Orange Liqueur,Lime Juice,Orange Juice,Grenadine"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with an orange slice",Red Death,https://www.makemycocktail.com/cocktails/RedDeath.php
"1 oz.,1 oz.,1 oz.","Gin,Mint Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the gin, mint liqueur and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with grated nutmeg",Alexander's Sister,https://www.makemycocktail.com/cocktails/AlexandersSister.php
"2 oz.,5 oz.","Rum,Orange Juice"," Fill your highball glass with ice,Pour the rum and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Rum & Orange Juice,https://www.makemycocktail.com/cocktails/RumOJ.php
"0.75 oz.,0.75 oz.,0.75 oz.,4.25 oz.","Vodka,Gin,Tequila,Orange Juice"," Fill your highball glass with ice,Pour the vodka, gin, tequila and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange slice",Gentle Ben,https://www.makemycocktail.com/cocktails/GentleBen.php
"1.5 oz.,1 oz.,2 oz.,2 oz.,0.25 oz.","Rum,Coconut Liqueur,Orange Juice,Pineapple Juice,Grenadine"," Fill your hurricane glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with an orange wedge and a cherry",Bahama Mama,https://www.makemycocktail.com/cocktails/BahamaMama.php
"2 oz.,0.75 oz.,0.75 oz.,1 whole","Whiskey,Lemon Juice,Simple Syrup,Egg White*"," Fill your rocks glass with ice,Add the whiskey, lemon juice, simple syrup and egg white to the shaker,Shake your cocktail without ice for 20-25 seconds,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 20-25 seconds,Strain the shaker contents into the rocks glass,Note: Feel free to exclude the egg white by simply shaking the other ingredients with ice for 10-15 seconds and straining into a rocks glass,Lastly, garnish your cocktail with an orange slice and a cherry",Whiskey Sour,https://www.makemycocktail.com/cocktails/WhiskeySour.php
"1.5 oz.,0.5 oz.,4.5 oz.","Vodka,Orange Juice,Lemon-Lime Soda"," Fill your highball glass with ice,Pour the vodka and orange juice directly into the glass,Top off the glass with lemon-lime soda,Lastly, garnish your cocktail with an orange wheel",Screw-Up,https://www.makemycocktail.com/cocktails/ScrewUp.php
"2 oz.,1 oz.,0.5 oz.,1 oz.","Tequila,Almond Liqueur,Orange Liqueur,Lime Juice"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the tequila, amaretto, Cointreau and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a lime wedge",Italian Margarita,https://www.makemycocktail.com/cocktails/ItalianMargarita.php
"1.5 oz.,1 oz.,1 oz.,0.25 oz.,1 cup","Rum,Orange Liqueur,Lime Juice,Simple Syrup,Ice*"," Chill your margarita glass before preparing the cocktail,Add the aged rum, triple sec, lime juice, simple syrup and one cup of ice to the blender,Blend ingredients until the contents are smoothly blended,Pour the blender contents into the chilled margarita glass,Lastly, garnish your cocktail with a lime wedge",Frozen Daiquiri,https://www.makemycocktail.com/cocktails/FrozenDaiquiri.php
"2 oz.,5 oz.","Vodka,Lemon-Lime Soda"," Fill your highball glass with ice,Pour the vodka directly into the glass,Top off the glass with lemon-lime soda,Lastly, garnish your cocktail with a cherry",Vodka 7,https://www.makemycocktail.com/cocktails/Vodka7.php
